,name of company
197,PRAJ INDUSTRIES LTD.
198,PROTIVITY CONSULTING PVT. LTD
199,PUNJ LLOYD
200,QUALEX SYSTEMS PVT. LTD.
201,QUINNOX
202,REFLEXIS SYSTEMS INDIA PVT. LTD.
203,RELIANCE COMMUNICATIONS LTD.
204,RELIANCE INDUSTRIES LTD.
205,RENATA PRECISION COMPONENTS LTD.
206,ROBERT BOSH CHASIS
207,ROCKWELL AUTOMATION INDIA PVT. LTD.
208,S1 SERVICES LTD.
209,SAAMA TECHNOLOGIES LTD.
210,"SAMVIDNYAN INFOTECH PVT, LTD."
211,SANDVIK ASIA LTD.
212,SANMAR ENGINEERING CORPORATION LTD.
213,SAPIENT
214,SASKEN COMMUNICATION TECH LTD
215,SATYAM COMPUTER SERVICES LTD.
216,SCHNEIDER ELECTRIC
217,SESA GOA LTD. (VEDANTA GROUP)
218,SIDEL INDIA PVT. LTD.
219,SIEMENS
220,SIGMA SOFTWARE SOLUTIONS PVT LTD.
221,SILICON MEADOWS
222,SINGHANIA GROUP
223,SKF INDIA LTD.
224,SOFTECH ENGINEERS
225,SOFTPOINT COMPUTERS LTD.
226,SOMA ENTERPRISE LTD.
227,SOMOTEX IMPOT EXPORT PVT LTD.
228,SONICWALL SERVICES PVT. LTD.
229,SONY INDIA SOTWARE CENTRE
230,SPOT ON SOFTWARE PVT. LTD.
231,STARENT NETWORKS (I) PVT. LTD.
232,SUDARSHAN CHEMICALS
233,SUGEN SOFTWARE
234,SUNGUARD OFF-SHORE SERIVCES(I) LTD.
235,SUPREME PETOCHEM LTD.
236,SUZLON ENERGY LTD.
237,SYMANTEC
238,SYMPHONY SERVICES PUNE PVT. LTD.
239,SYNERGY IFSOLUTIONS PTE LTD.
240,SYNERGY RELATIONSHIP MGMT SERVICES PVT. LTD.
241,SYNIGY INDIA LTD.
242,SYNTEL LTD.
243,TACO FAURECIA DESIGN CENTER
244,TACO GROUP
245,TAL MANUFACTURING SOLUTIONS LTD.
246,TATA CHEMICALS
247,TATA COMMUNICATION TRANSFORMATION SERVICES
248,TATA CONSULTANCY SERVICES LTD.
249,TATA ELXSI LTD.
250,TATA MOTORS LTD.
251,TATA PROJECTS LTD.
252,TATA RYERSON
253,TATA TECHNOLOGIES LTD.
254,TAVISKA SOLUTIONS
255,TECH MAHINDRA LTD.
256,TECHINT HYPERTHERM
257,TEGA INDUSTRIES LTD
258,TESTFUNDA
259,TEXITY SYSTEMS PVT. LTD.
260,TEXOL ENGINEERING PVT. LTD.
261,"THERMAX LTD,"
262,THOUGHTWORKS TECHNOLOGIES (I) PVT LTD.
263,TOPAZ ENGINEERING
264,TORUX SOFTWARE PVT. LTD.
265,TOYOTA TECHNICAL DEVELOPMENT CORP.
266,TRANSLOGICS
267,TRANSOCEAN OFFSHORE INTERNATIONAL VENTURES LTD.
268,T-SYSTEMS (I) PVT. LTD.
269,TVS MOTORS CO LTD.
270,TYCO ELECTRONICS CORPORATION INDIA LTD.
271,UGS INDIA PVT. LTD.
272,UHDE INDIA
273,VA TECH WABAG LTD.
274,VALEO MINDA ELECTRICAL SYS. LTD.
275,VERIZON
276,VESTAS WIND TECHNOLOGY LTD.
277,VIDEOCON INDUSTRIES LTD.
278,VJ CORESOFT PVT. LTD.
279,VOLKSWAGEN INDIA PVT. LTD.
280,VRITTI SOLUTIONS
281,VULCAN ENGINEERS LTD.
282,WEATHERFORD
283,WEBSYM TECHNOLOGIES PVT. LTD.
284,WHIRLPOOL INDIA LTD.
285,WIPRO TECHNOLOGIES LTD.
286,WIPRO CONSUMER CARE & LIGHTING
287,XANSA INDIA PVT. LTD.
288,YENKAY INSTRUMENTS AND CONTROLS
289,ZENSAR TECHNOLOGIES LTD.
290,ZENSOFT SERVICES
291,ZS ASSOCIATES LTD
